POCO;Recebidos;Geoquímica de rocha;Geoquímica de fluido;Dados de rocha e fluido;CADASTRO;OPERADOR;POCO_OPERADOR;ESTADO;BACIA;BLOCO;SIG_CAMPO;CAMPO;TERRA_MAR;POCO_POS_ANP;TIPO;CATEGORIA;RECLASSIFICACAO;SITUACAO;INICIO;TERMINO;CONCLUSAO;TITULARIDADE;LATITUDE_BASE_4C;LONGITUDE_BASE_4C;LATITUDE_BASE_DD;LONGITUDE_BASE_DD;DATUM_HORIZONTAL;TIPO_DE_COORDENADA_DE_BASE;DIRECAO;PROFUNDIDADE_VERTICAL_M;PROFUNDIDADE_SONDADOR_M;PROFUNDIDADE_MEDIDA_M;REFERENCIA_DE_PROFUNDIDADE;MESA_ROTATIVA;COTA_ALTIMETRICA_M;LAMINA_D_AGUA_M;DATUM_VERTICAL;UNIDADE_ESTRATIGRAFICA;GEOLOGIA_GRUPO_FINAL;GEOLOGIA_FORMACAO_FINAL;GEOLOGIA_MEMBRO_FINAL;CDPE;AGP;PC;PAG;PERFIS_CONVENCIONAIS;DURANTE_PERFURACAO;PERFIS_DIGITAIS;PERFIS_PROCESSADOS;PERFIS_ESPECIAIS;AMOSTRA_LATERAL;SISMICA;TABELA_TEMPO_PROFUNDIDADE;DADOS_DIRECIONAIS;TESTE_A_CABO;TESTE_DE_FORMACAO;CANHONEIO;TESTEMUNHO;GEOQUIMICA;SIG_SONDA;NOM_SONDA;ATINGIU_PRESAL;DHA_ATUALIZACAO
1-AM-1-BA;x;;;;2.024E+11;;1AM  0001  BA;BA;Recôncavo;Brasil;;;T;N;1;Pioneiro;SECO SEM INDÍCIOS;ABANDONADO PERMANENTEMENTE;09/07/1967 00:00;15/07/1967 00:00;15/07/1967 00:00;Público;-12:05:30,553;-38:27:17,511;-12.09182028;-38.45486417;SIRGAS2000;Definitiva;Vertical;;680;;MR;208.1;;;;;;;;;Existe;Existe;;;;Existe;;;;;;;;;;;Existe;SC-52;SONDA CONVENCIONAL 52;;04/12/2022 05:00
1-ARL-1-BA;x;x;x;x;2.024E+11;Egesa;1ARL 0001  BA;BA;Recôncavo;ARL;;;T;N;1;Pioneiro;PRODUTOR SUBCOMERCIAL DE PETRÓLEO;DEVOLVIDO;18/10/1966 00:00;08/03/1967 00:00;08/03/1967 00:00;Público;-12:08:17,831;-38:06:57,458;-12.13828639;-38.11596056;SIRGAS2000;Definitiva;Vertical;0;3652.7;0;MR;89.5;0;0;NM;;;;;;Existe;Existe;;;;Existe;;;;;;;;;;;Existe;LG-3                          ;;;04/12/2022 05:00
1-BAS-34-BA;x;;;;2.0241E+11;;1BAS 0034  BA;BA;Recôncavo;Brasil;;;M;N;1;Pioneiro;PRODUTOR SUBCOMERCIAL DE PETRÓLEO;ARRASADO;21/08/1976 00:00;13/09/1976 00:00;13/09/1976 00:00;Público;-12:50:51,891;-38:36:27,936;-12.8477475;-38.60776;SIRGAS2000;Definitiva;Vertical;;1656;;MR;26;;13;NM;;;;;;Existe;Existe;;;;Existe;;;;;;;;;;;Existe;PA-5                          ;;;04/12/2022 05:00
1-BAS-42-BA;x;;;;2.0241E+11;;1BAS 0042  BA;BA;Recôncavo;Brasil;;;M;N;1;Pioneiro;SECO SEM INDÍCIOS;ARRASADO;01/12/1978 00:00;16/01/1979 00:00;16/01/1979 00:00;Público;-12:55:19,742;-38:33:17,676;-12.92215056;-38.55491;SIRGAS2000;Definitiva;Vertical;;2550;;MR;20.5;;23;NM;;;;;;Existe;Existe;;;;Existe;;;;;;;;;;;Existe;P-1;PETROBRAS I;;04/12/2022 05:00
1-BAS-43-BA;x;;;;2.0241E+11;;1BAS 0043  BA;BA;Recôncavo;Brasil;;;M;N;1;Pioneiro;SECO SEM INDÍCIOS;ARRASADO;25/01/1979 00:00;02/02/1979 00:00;02/02/1979 00:00;Público;-12:47:15,592;-38:40:52,107;-12.78766444;-38.68114083;SIRGAS2000;Definitiva;Vertical;;985.4;;MR;20.79999;;21;NM;;;;;;Existe;Existe;;;;Existe;;;;;;;;;;;Existe;P-1;PETROBRAS I;;04/12/2022 05:00
1-BB-5-BA;x;;x;x;2.024E+11;SPE Miranga;1BB  0005  BA;BA;Recôncavo;BB;BB   ;BIRIBA;T;N;1;Pioneiro;SECO SEM INDÍCIOS;ABANDONADO PERMANENTEMENTE;28/09/1967 00:00;13/10/1967 00:00;13/10/1967 00:00;Público;-12:23:18,760;-38:14:23,811;-12.38854444;-38.2399475;SIRGAS2000;Definitiva;Vertical;;1700;;MR;92.69999;;;;;;;;;Existe;Existe;;;;Existe;;;;;;;;;;;Existe;SC-20;SONDA CONVENCIONAL 20;;04/12/2022 05:00
1-BL-1-BA;x;;x;x;2.024E+11;Alvopetro;1BL  0001  BA;BA;Recôncavo;BL;BL   ;BOM LUGAR;T;N;1;Pioneiro;DESCOBRIDOR DE CAMPO COM PETRÓLEO;FECHADO;07/03/1968 00:00;24/07/1968 00:00;24/07/1968 00:00;Público;-12:11:39,856;-38:13:45,718;-12.19440444;-38.22936611;SIRGAS2000;Definitiva;Vertical;0;3329.1;0;MR;97.8;0;0;NM;;;;;;Existe;Existe;;;;Existe;;;;Existe;Existe;;;;;;Existe;SC-34;SONDA CONVENCIONAL 34;I;04/12/2022 05:00
1-BRSA-43-BA;x;;;;20240019251;Petrobras;1LR1BA;BA;Recôncavo;BREC-13;;;T;S;1;Pioneiro;PRODUTOR SUBCOMERCIAL DE PETRÓLEO;DEVOLVIDO;12/02/2001 00:00;01/03/2001 00:00;13/06/2001 00:00;Público;-12:36:32,071;-38:32:54,923;-12.60890861;-38.54858972;SIRGAS2000;Definitiva;Vertical;;1716;;MR;64.1;59.27;0;NM;;;;;Existe;Existe;Existe;;;;Existe;;;;;;Existe;;;;;Existe;SC-94;SONDA CONVENCIONAL 94;;04/12/2022 05:00
1-BRSA-73-BA;x;;;;20240019450;Imetame;1NOB1BA;BA;Recôncavo;REC-T-211;CAAM ;CARDEAL AMARELO;T;S;1;Pioneiro;PORTADOR DE PETRÓLEO;ARRASADO;28/05/2001 00:00;04/07/2001 00:00;08/07/2001 00:00;Público;-12:31:09,446;-38:14:45,310;-12.51929056;-38.24591944;SIRGAS2000;Definitiva;Vertical;;1808;;MR;38.6;33.74;0;NM;;;;;Existe;Existe;Existe;;;;Existe;;;;;;Existe;;;;;Existe;SC-94;SONDA CONVENCIONAL 94;;04/12/2022 05:00
1-BRSA-84-BA;x;;;;20240019508;Petrobras;1FRT1BA;BA;Recôncavo;MP;MP   ;MASSAPÊ;T;S;1;Pioneiro;DESCOBRIDOR DE CAMPO COM PETRÓLEO E GÁS NATURAL;ABANDONADO TEMPORARIAMENTE COM MONITORAMENTO;29/06/2001 00:00;;19/09/2001 00:00;Público;-12:34:29,184;-38:25:39,456;-12.57477333;-38.42762667;SIRGAS2000;Definitiva;Vertical;;2745;;MR;105.3;95.9;0;NM;;;;;Existe;Existe;Existe;;;;Existe;;;;;;Existe;;;;;Existe;SC-108;SONDA CONVENCIONAL 108;;04/12/2022 05:00
