POCO,LATITUDE_BASE_4C,LONGITUDE_BASE_4C,LATITUDE_BASE_DD,LONGITUDE_BASE_DD,DATUM_HORIZONTAL,PROFUNDIDADE_SONDADOR_M,AGP
4-BRSA-709-SPS,"-25:47:53,938","-43:27:29,498","-25,7983161111","-43,4581938888",SIRGAS2000,5343,Existe
4-BRSA-711-RJS,"-25:11:49,926","-42:54:27,744","-25,1972016666","-42,9077066666",SIRGAS2000,5799,Existe
4-BRSA-723C-SPS,"-25:52:00,319","-43:43:47,969","-25,8667552777","-43,7299913888",SIRGAS2000,6080,
4-BRSA-818-RJS,"-25:12:48,285","-43:23:56,265","-25,2134125","-43,3989625",SIRGAS2000,6586,
4-BRSA-946C-SPS,"-25:48:21,287","-43:50:59,555","-25,8059130555","-43,8498763888",SIRGAS2000,6175,
4-BRSA-971B-SPS,"-25:28:03,458","-43:59:28,369","-25,4676272222","-43,9912136111",SIRGAS2000,6671,
1-BRSA-329D-RJS,"-25:03:43,868","-43:22:02,362","-25,0621855555","-43,3673227777",SIRGAS2000,7628,Existe
1-BRSA-458-ESS,"-21:38:39,618","-39:32:30,265","-21,6443383333","-39,5417402777",SIRGAS2000,6249,Existe
1-BRSA-532A-SPS,"-25:37:27,376","-43:54:19,626","-25,6242711111","-43,9054516666",SIRGAS2000,6773,Existe
1-BRSA-553-RJS,"-22:53:47,947","-40:18:05,202","-22,8966519444","-40,301445",SIRGAS2000,5277,Existe
1-BRSA-618-RJS,"-24:59:11,878","-42:36:50,634","-24,9866327777","-42,614065",SIRGAS2000,6080,Existe
1-RJS-531-RJ,"-23:00:24,221","-40:25:50,892","-23,0067280555","-40,4308033333",SIRGAS2000,5078,Existe
3-BRSA-394-ESS,"-21:31:28,336","-39:39:39,605","-21,5245377777","-39,6610013888",SIRGAS2000,5207,Existe
3-BRSA-496-RJS,"-25:34:20,263","-42:49:45,587","-25,5722952777","-42,8293297222",SIRGAS2000,5316,Existe
3-BRSA-755A-RJS,"-25:23:11,146","-42:42:19,430","-25,3864294444","-42,7053972222",SIRGAS2000,5501,
3-BRSA-967A-RJS,"-25:26:24,017","-42:24:55,180","-25,4400047222","-42,4153277777",SIRGAS2000,5918,
6-BRSA-409-RJS,"-22:28:18,169","-40:04:16,780","-22,4717136111","-40,0713277777",SIRGAS2000,5351,Existe
6-BRSA-497-ESS,"-21:11:48,812","-39:57:01,923","-21,1968922222","-39,9505341666",SIRGAS2000,5019,Existe
6-BRSA-505P-ESS,"-20:01:19,714","-39:32:54,577","-20,0221427777","-39,5484936111",SIRGAS2000,5774,Existe
6-BRSA-770D-RJS,"-22:23:00,027","-40:06:03,364","-22,3833408333","-40,1009344444",SIRGAS2000,5122,
6-BRSA-990-RJS,"-22:21:37,946","-40:12:13,567","-22,3605405555","-40,2037686111",SIRGAS2000,5250,
1-BRSA-104-RJS,"-24:37:45,442","-43:05:41,272","-24,6292894444","-43,0947977777",SIRGAS2000,4499,Existe
1-BRSA-137-RJS,"-24:31:02,062","-42:33:37,356","-24,5172394444","-42,5603766666",SIRGAS2000,3466,Existe
1-BRSA-182-RJS,"-22:22:22,556","-39:51:32,495","-22,3729322222","-39,8590263888",SIRGAS2000,5246,Existe
1-BRSA-597-RJS,"-24:25:58,109","-43:06:46,754","-24,4328080555","-43,1129872222",SIRGAS2000,6030,Existe
1-BRSA-757B-SPS,"-26:22:20,514","-45:00:52,487","-26,372365","-45,0145797222",SIRGAS2000,6441,Existe
1-BRSA-75B-ESS,"-21:03:47,152","-39:54:31,399","-21,0630977777","-39,9087219444",SIRGAS2000,3957,Existe
1-BRSA-789-ESS,"-20:06:26,307","-39:12:15,411","-20,1073075","-39,2042808333",SIRGAS2000,5209,Existe
1-BRSA-91-ESS,"-20:49:24,920","-39:11:33,378","-20,8235888888","-39,192605",SIRGAS2000,4970,Existe
1-BSS-77-SCS,"-27:03:19,210","-46:23:58,390","-27,0553361111","-46,3995527777",SIRGAS2000,4215,Existe
6-BRSA-139D-ESS,"-21:15:06,149","-40:01:27,342","-21,2517080555","-40,0242616666",SIRGAS2000,3700,Existe
1-BRSA-183D-RJS,"-24:47:56,812","-42:37:53,060","-24,7991144444","-42,6314055555",SIRGAS2000,4622,Existe
1-BRSA-18-ESS,"-21:56:46,361","-39:28:46,867","-21,9462113888","-39,4796852777",SIRGAS2000,5510,Existe
1-BRSA-369A-RJS,"-25:28:56,223","-42:49:39,135","-25,4822841666","-42,8275375",SIRGAS2000,5957,Existe
1-BRSA-594-SPS,"-25:48:23,679","-43:13:31,011","-25,8065775","-43,2252808333",SIRGAS2000,5993,Existe
1-BRSA-618-RJS,"-24:59:11,878","-42:36:50,634","-24,9866327777","-42,614065",SIRGAS2000,6080,Existe
3-BRSA-496-RJS,"-25:34:20,263","-42:49:45,587","-25,5722952777","-42,8293297222",SIRGAS2000,5316,Existe
1-BRSA-108A-ESS,"-21:16:23,421","-40:00:11,994","-21,2731725","-40,0033316666",SIRGAS2000,4802,Existe
1-BRSA-329D-RJS,"-25:03:43,868","-43:22:02,362","-25,0621855555","-43,3673227777",SIRGAS2000,7628,Existe
4-BRSA-449-ESS,"-21:24:18,032","-40:00:23,077","-21,4050088888","-40,0064102777",SIRGAS2000,4751,Existe
7-LL-11-RJS,"-25:24:38,686","-42:42:45,055","-25,4107461111","-42,7125152777",SIRGAS2000,"5279,5",
7-LL-15D-RJS,"-25:22:43,160","-42:43:51,473","-25,3786555555","-42,7309647222",SIRGAS2000,5145,
1-BRSA-1007-RJS,"-23:26:13,472","-40:43:37,023","-23,4370755555","-40,7269508333",SIRGAS2000,5600,
1-BRSA-1045-SPS,"-25:57:15,137","-43:11:30,236","-25,9542047222","-43,1917322222",SIRGAS2000,5766,
1-BRSA-1050-SPS,"-26:41:19,444","-45:38:58,397","-26,6887344444","-45,6495547222",SIRGAS2000,6848,
1-BRSA-783A-ESS,"-19:50:33,407","-39:05:57,403","-19,8426130555","-39,0992786111",SIRGAS2000,6465,
1-BRSA-847-ESS,"-21:47:07,875","-39:41:09,658","-21,7855208333","-39,6860161111",SIRGAS2000,6759,
1-BRSA-858-RJS,"-21:35:51,565","-40:42:42,816","-21,5976569444","-40,7118933333",SIRGAS2000,2100,
1-BRSA-925A-RJS,"-24:35:36,181","-42:54:30,632","-24,5933836111","-42,9085088888",SIRGAS2000,6432,
1-BRSA-958-ESS,"-21:00:36,931","-40:03:44,427","-21,0102586111","-40,0623408333",SIRGAS2000,4232,
3-BRSA-1023-SPS,"-25:32:30,242","-43:29:31,699","-25,5417338888","-43,4921386111",SIRGAS2000,5600,
3-BRSA-1132-RJS,"-24:59:26,922","-42:40:23,020","-24,9908116666","-42,6730611111",SIRGAS2000,5900,
3-BRSA-795-RJS,"-25:22:43,691","-42:46:39,877","-25,3788030555","-42,7777436111",SIRGAS2000,5602,
3-BRSA-861-SPS,"-25:31:41,867","-43:26:18,327","-25,5282963888","-43,4384241666",SIRGAS2000,5726,
3-BRSA-923A-SPS,"-25:51:30,056","-43:13:08,327","-25,8583488888","-43,2189797222",SIRGAS2000,5798,
3-BRSA-957-SCS,"-27:08:12,923","-46:37:58,887","-27,1369230555","-46,6330241666",SIRGAS2000,6552,
1-BRSA-108A-ESS,"-21:16:23,421","-40:00:11,994","-21,2731725","-40,0033316666",SIRGAS2000,4802,Existe
