POCO,LATITUDE_BASE_4C,LONGITUDE_BASE_4C,LATITUDE_BASE_DD,LONGITUDE_BASE_DD,DATUM_HORIZONTAL,PROFUNDIDADE_SONDADOR_M,AGP
1-AM-1-BA,"-12:05:30,553","-38:27:17,511","-12,0918203","-38,4548642",SIRGAS2000,680,Existe
1-ARL-1-BA,"-12:08:17,831","-38:06:57,458","-12,1382864","-38,1159606",SIRGAS2000,"3652,7",Existe
1-BAS-34-BA,"-12:50:51,891","-38:36:27,936","-12,8477475","-38,6077600",SIRGAS2000,1656,Existe
1-BAS-42-BA,"-12:55:19,742","-38:33:17,676","-12,9221506","-38,5549100",SIRGAS2000,2550,Existe
1-BAS-43-BA,"-12:47:15,592","-38:40:52,107","-12,7876644","-38,6811408",SIRGAS2000,"985,4",Existe
1-BB-5-BA,"-12:23:18,760","-38:14:23,811","-12,3885444","-38,2399475",SIRGAS2000,1700,Existe
1-BL-1-BA,"-12:11:39,856","-38:13:45,718","-12,1944044","-38,2293661",SIRGAS2000,"3329,1",Existe
1-BRSA-43-BA,"-12:36:32,071","-38:32:54,923","-12,6089086","-38,5485897",SIRGAS2000,1716,Existe
1-BRSA-73-BA,"-12:31:09,446","-38:14:45,310","-12,5192906","-38,2459194",SIRGAS2000,1808,Existe
1-BRSA-84-BA,"-12:34:29,184","-38:25:39,456","-12,5747733","-38,4276267",SIRGAS2000,2745,Existe
1-CAB-1-BA,"-12:03:30,258","-38:11:40,470","-12,0584050","-38,1945750",SIRGAS2000,3165,
1-CAJ-1-BA,"-12:14:34,320","-38:20:02,450","-12,2428667","-38,3340139",SIRGAS2000,2295,Existe
1-CBI-1-BA,"-12:11:18,083","-38:02:55,354","-12,1883564","-38,0487094",SIRGAS2000,2813,
1-CCA-1-BA,"-12:40:54,362","-38:18:22,615","-12,6817672","-38,3062819",SIRGAS2000,2957,Existe
1-CDS-1-BA,"-11:59:07,415","-37:56:35,013","-11,9853931","-37,9430592",SIRGAS2000,3540,
1-CER-1-BA,"-11:56:14,543","-38:04:19,580","-11,9373731","-38,0721056",SIRGAS2000,1646,
1-DA-1-BA,"-12:37:20,023","-38:21:34,548","-12,6222286","-38,3595967",SIRGAS2000,"5032,6",Existe
1-ESS-33-ES,"-18:22:42,746","-39:35:17,591","-18,3785406","-39,5882197",SIRGAS2000,2529,Existe
1-ESS-49-ESS,"-19:13:32,721","-39:25:54,330","-19,2257558","-39,4317583",SIRGAS2000,5407,Existe
1-ESS-51-ES,"-19:13:35,235","-39:35:17,266","-19,2264542","-39,5881294",SIRGAS2000,5000,Existe
1-FAP-1-BA,"-12:31:21,265","-38:24:58,049","-12,5225736","-38,4161247",SIRGAS2000,2896,Existe
1-FC-5-BA,"-12:32:51,980","-38:28:17,992","-12,5477722","-38,4716644",SIRGAS2000,2925,
1-FCF-1-BA,"-12:17:14,551","-38:21:58,030","-12,2873753","-38,3661194",SIRGAS2000,2290,Existe
1-FDI-1-ES,"-19:13:41,548","-39:47:07,688","-19,2282078","-39,7854689",SIRGAS2000,2911,Existe
1-FGA-1-BA,"-12:22:33,492","-38:08:42,479","-12,3759700","-38,1451331",SIRGAS2000,1470,Existe
1-FPT-1-BA,"-11:54:19,519","-38:06:01,924","-11,9054219","-38,1005344",SIRGAS2000,315,
1-FZC-1-BA,"-12:28:26,340","-38:41:09,756","-12,4739833","-38,6860433",SIRGAS2000,"816,5",Existe
1-GE-1-BA,"-12:29:31,229","-38:31:23,998","-12,4920081","-38,5233328",SIRGAS2000,2235,Existe
1-LO-1-BA,"-12:08:54,536","-38:16:47,249","-12,1484822","-38,2797914",SIRGAS2000,2200,Existe
1-LPN-1-BA,"-12:12:51,833","-38:07:58,023","-12,2143981","-38,1327842",SIRGAS2000,"4225,8",
1-LS-2-ES,"-19:11:31,906","-39:43:40,282","-19,1921961","-39,7278561",SIRGAS2000,3000,Existe
1-MDU-2-BA,"-12:09:22,624","-38:08:14,012","-12,1562844","-38,1372256",SIRGAS2000,3426,
1-NA-2-BA,"-12:33:29,946","-38:34:40,384","-12,5583183","-38,5778844",SIRGAS2000,864,Existe
1-NAR-1-BA,"-12:11:25,145","-38:24:37,681","-12,1903181","-38,4104669",SIRGAS2000,3195,Existe
1-NET-1-BA,"-12:24:38,424","-38:27:21,155","-12,4106733","-38,4558764",SIRGAS2000,3030,
1-NRR-1-BA,"-12:40:18,693","-38:27:12,335","-12,6718592","-38,4534264",SIRGAS2000,3978,
1-OA-1-BA,"-12:06:26,718","-38:12:34,141","-12,1074217","-38,2094836",SIRGAS2000,2685,Existe
1-OB-1-BA,"-12:19:49,906","-38:29:12,994","-12,3305294","-38,4869428",SIRGAS2000,2088,
1-PLM-1-BA,"-11:54:10,513","-37:56:01,583","-11,9029203","-37,9337731",SIRGAS2000,1354,
1-PO-2-BA,"-12:20:02,464","-38:14:30,238","-12,3340178","-38,2417328",SIRGAS2000,"1376,1",Existe
1-PQ-3-BA,"-11:58:21,356","-38:01:20,463","-11,9725989","-38,0223508",SIRGAS2000,"2409,8",
1-PQ-6-BA,"-11:58:00,209","-38:04:10,936","-11,9667247","-38,0697044",SIRGAS2000,"1815,5",
1-PRN-1-BA,"-12:00:16,519","-38:05:46,502","-12,0045886","-38,0962506",SIRGAS2000,2429,
1-PRN-2-BA,"-12:02:46,063","-38:05:57,012","-12,0461286","-38,0991700",SIRGAS2000,2824,
1-PS-1-BA,"-12:23:08,657","-38:08:40,173","-12,3857381","-38,1444925",SIRGAS2000,"2995,7",Existe
1-RCA-1-BA,"-12:13:11,802","-38:14:58,108","-12,2199450","-38,2494744",SIRGAS2000,2532,Existe
1-RDO-1-BA,"-12:07:11,233","-38:04:53,920","-12,1197869","-38,0816444",SIRGAS2000,3195,
1-RF-4-BA,"-12:27:34,369","-38:11:20,875","-12,4595469","-38,1891319",SIRGAS2000,2405,Existe
1-RIC-1-BA,"-12:17:25,747","-38:21:31,897","-12,2904853","-38,3588603",SIRGAS2000,2440,Existe
1-RJ-1-BA,"-12:38:14,173","-38:24:14,814","-12,6372703","-38,4041150",SIRGAS2000,"3800,7",Existe
1-RMC-1D-BA,"-12:16:40,170","-38:07:18,790","-12,2778250","-38,1218861",SIRGAS2000,2700,Existe
1-RQN-1-BA,"-12:00:17,593","-37:58:59,789","-12,0048869","-37,9832747",SIRGAS2000,2493,Existe
1-RSB-1-BA,"-12:29:31,252","-38:25:06,352","-12,4920144","-38,4184311",SIRGAS2000,2112,Existe
1-RU-1-BA,"-12:21:50,928","-38:25:09,770","-12,3641467","-38,4193806",SIRGAS2000,2515,Existe
1-SEG-1-BA,"-12:08:26,163","-38:06:11,331","-12,1406008","-38,1031475",SIRGAS2000,3575,Existe
1-SJ-1-BA,"-12:27:33,734","-38:15:58,721","-12,4593706","-38,2663114",SIRGAS2000,2493,Existe
1-SLO-1-BA,"-12:34:20,999","-38:40:47,963","-12,5724997","-38,6799897",SIRGAS2000,1072,Existe
1-SS-3-BA,"-12:30:29,638","-38:27:54,277","-12,5082328","-38,4650769",SIRGAS2000,2924,Existe
3-BSU-3-BA,"-12:20:15,301","-38:27:42,711","-12,3375836","-38,4618642",SIRGAS2000,2004,
3-C-189-BA,"-12:45:41,436","-38:32:45,383","-12,7615100","-38,5459397",SIRGAS2000,2279,Existe
3-C-190-BA,"-12:38:24,122","-38:33:19,238","-12,6400339","-38,5553439",SIRGAS2000,1634,Existe
3-CX-43-BA,"-12:40:23,641","-38:28:43,229","-12,6732336","-38,4786747",SIRGAS2000,3006,
3-FBE-3-BA,"-12:09:22,645","-38:12:49,426","-12,1562903","-38,2137294",SIRGAS2000,2671,
3-FO-3-BA,"-12:14:38,457","-38:15:25,293","-12,2440158","-38,2570258",SIRGAS2000,2520,
3-FSE-6-BA,"-12:11:57,822","-38:22:17,676","-12,1993950","-38,3715767",SIRGAS2000,2750,
3-LP-4-ES,"-19:36:18,442","-39:49:50,326","-19,6051228","-39,8306461",SIRGAS2000,2340,Existe
3-MGN-3-BA,"-12:18:29,754","-38:08:52,528","-12,3082650","-38,1479244",SIRGAS2000,"3192,5",Existe
3-MGP-35D-BA,"-12:22:03,545","-38:11:06,331","-12,3676514","-38,1850919",SIRGAS2000,3541,
3-MP-10-BA,"-12:33:53,285","-38:26:53,876","-12,5648014","-38,4482989",SIRGAS2000,2643,
3-PJN-2-BA,"-12:24:55,319","-38:19:19,822","-12,4153664","-38,3221728",SIRGAS2000,1607,
3-RCB-3-BA,"-12:04:13,328","-38:00:16,130","-12,0703689","-38,0044806",SIRGAS2000,2239,Existe
3-ROV-3-BA,"-11:52:44,687","-37:51:18,238","-11,8790797","-37,8550661",SIRGAS2000,1606,
3-RSP-2-BA,"-12:29:52,520","-38:14:39,748","-12,4979222","-38,2443744",SIRGAS2000,1406,
3-RSP-6-BA,"-12:30:32,725","-38:14:44,796","-12,5090903","-38,2457767",SIRGAS2000,2635,Existe
3-TQ-109-BA,"-12:24:13,924","-38:28:07,618","-12,4038678","-38,4687828",SIRGAS2000,1362,
4-BA-351-BA,"-12:13:49,676","-38:29:43,894","-12,2304656","-38,4955261",SIRGAS2000,890,
4-BB-16-BA,"-12:24:05,285","-38:14:52,684","-12,4014681","-38,2479678",SIRGAS2000,2883,Existe
4-BRSA-94-BA,"-12:18:53,504","-38:14:51,722","-12,3148622","-38,2477006",SIRGAS2000,1300,Existe
4-CX-82-BA,"-12:36:45,849","-38:29:55,483","-12,6127358","-38,4987453",SIRGAS2000,2820,
