POCO;Recebidos;Geoquímica de rocha;Geoquímica de fluido;Dados de rocha e fluido;CADASTRO;OPERADOR;POCO_OPERADOR;ESTADO;BACIA;BLOCO;SIG_CAMPO;CAMPO;TERRA_MAR;POCO_POS_ANP;TIPO;CATEGORIA;RECLASSIFICACAO;SITUACAO;INICIO;TERMINO;CONCLUSAO;TITULARIDADE;LATITUDE_BASE_4C;LONGITUDE_BASE_4C;LATITUDE_BASE_DD;LONGITUDE_BASE_DD;DATUM_HORIZONTAL;TIPO_DE_COORDENADA_DE_BASE;DIRECAO;PROFUNDIDADE_VERTICAL_M;PROFUNDIDADE_SONDADOR_M;PROFUNDIDADE_MEDIDA_M;REFERENCIA_DE_PROFUNDIDADE;MESA_ROTATIVA;COTA_ALTIMETRICA_M;LAMINA_D_AGUA_M;DATUM_VERTICAL;UNIDADE_ESTRATIGRAFICA;GEOLOGIA_GRUPO_FINAL;GEOLOGIA_FORMACAO_FINAL;GEOLOGIA_MEMBRO_FINAL;CDPE;AGP;PC;PAG;PERFIS_CONVENCIONAIS;DURANTE_PERFURACAO;PERFIS_DIGITAIS;PERFIS_PROCESSADOS;PERFIS_ESPECIAIS;AMOSTRA_LATERAL;SISMICA;TABELA_TEMPO_PROFUNDIDADE;DADOS_DIRECIONAIS;TESTE_A_CABO;TESTE_DE_FORMACAO;CANHONEIO;TESTEMUNHO;GEOQUIMICA;SIG_SONDA;NOM_SONDA;ATINGIU_PRESAL;DHA_ATUALIZACAO
4-BRSA-709-SPS;x;x;;x;86316023655;Petrobras;4SPS60;SP;Santos;BM-S-9;;;M;S;4;Pioneiro Adjacente;DESCOBRIDOR DE NOVA JAZIDA PETRÓLEO;ABANDONADO PERMANENTEMENTE;39840;39905;39921;Público;-25:47:53,938;-43:27:29,498;-25.79831611;-43.45819389;SIRGAS2000;Definitiva;Vertical;-5325;5343;5343;MR;18;0;2143;NM;;;;;Existe;Existe;Existe;;Existe;Existe;;;;Existe;Existe;;Existe;Existe;;;;Existe;NS-21;OCEAN CLIPPER;S;44899.20838
4-BRSA-711-RJS;x;x;x;x;74316023710;Petrobras;4RJS647;RJ;Santos;BM-S-11;TUP  ;TUPI;M;S;4;Pioneiro Adjacente;PRODUTOR COMERCIAL DE PETRÓLEO;PRODUZINDO;39866;39994;40148;Público;-25:11:49,926;-42:54:27,744;-25.19720167;-42.90770667;SIRGAS2000;Definitiva;Vertical;-5775.5;5799;5801.5;MR;26;0;2213;NM;;;;;Existe;Existe;Existe;Existe;Existe;Existe;;;;Existe;Existe;;Existe;Existe;Existe;;Existe;Existe;SS-68;WEST TAURUS;S;44899.20838
4-BRSA-723C-SPS;x;x;;x;86316023903;Petrobras;4SPS66C;SP;Santos;BM-S-9;;;M;S;4;Pioneiro Adjacente;DESCOBRIDOR DE CAMPO COM PETRÓLEO E GÁS NATURAL;ABANDONADO TEMPORARIAMENTE SEM MONITORAMENTO;39950;40042;40075;Público;-25:52:00,319;-43:43:47,969;-25.86675528;-43.72999139;SIRGAS2000;Definitiva;Vertical;-6051;6080;6086;MR;32;0;2163;NM;;;;;Existe;;Existe;;Existe;Existe;;;;Existe;Existe;;Existe;Existe;Existe;;Existe;Existe;NS-25;STENA DRILL MAX;S;44899.20838
4-BRSA-818-RJS;x;x;;x;74316024660;Petrobras;4RJS668;RJ;Santos;BM-S-10;;;M;S;4;Pioneiro Adjacente;PORTADOR DE PETRÓLEO;ABANDONADO PERMANENTEMENTE;40267;40564;40596;Público;-25:12:48,285;-43:23:56,265;-25.2134125;-43.3989625;SIRGAS2000;Definitiva;Vertical;-6579;6586;6589;MR;19;0;2136;NM;;;;;Existe;;Existe;Existe;Existe;Existe;;;;Existe;Existe;;Existe;Existe;;;;Existe;SS-71;Noble Dave Beard;S;44899.20838
4-BRSA-946C-SPS;x;x;;x;86316025637;Equinor Brasil;4SPS71C;SP;Santos;BM-S-8;2771;PA-1BRSA532ASPS-BM-S-8;M;S;4;Pioneiro Adjacente;PRODUTOR SUBCOMERCIAL DE PETRÓLEO;ABANDONADO PERMANENTEMENTE;40750;40851;40884;Público;-25:48:21,287;-43:50:59,555;-25.80591306;-43.84987639;SIRGAS2000;Definitiva;Vertical;-6141.8;6175;6175;MR;33;;2177;NM;;;;;Existe;;Existe;Existe;Existe;Existe;;;;Existe;Existe;;Existe;Existe;;;;Existe;SS-74;Sevan Driller;S;44899.20838
4-BRSA-971B-SPS;x;x;x;x;86316025925;Equinor Brasil;4SPS86B;SP;Santos;BM-S-8;BAC  ;BACALHAU;M;S;4;Pioneiro Adjacente;DESCOBRIDOR DE NOVA JAZIDA PETRÓLEO;ABANDONADO TEMPORARIAMENTE SEM MONITORAMENTO;40892;41184;41272;Público;-25:28:03,458;-43:59:28,369;-25.46762722;-43.99121361;SIRGAS2000;Definitiva;Vertical;-6637.2;6671;6671;MR;33;0;2027;NM;;;;;Existe;;Existe;;Existe;Existe;;;;Existe;Existe;;Existe;Existe;;;;Existe;SS-74;Sevan Driller;S;44899.20838
1-BRSA-329D-RJS;x;x;x;x;74316021189;Petrobras;1RJS617D;RJ;Santos;BM-S-10;;;M;S;1;Pioneiro;PORTADOR DE PETRÓLEO, GÁS NATURAL E CONDENSADO;ABANDONADO TEMPORARIAMENTE SEM MONITORAMENTO;2005-01-01 00:00:00;2006-03-30 00:00:00;2006-10-28 00:00:00;Público;-25:03:43,868;-43:22:02,362;-25,0621855555;-43,3673227777;SIRGAS2000;Definitiva;Direcional;-7148;7628;7628;MR;14;0;2038;NM;;;;;Existe;Existe;Existe;;Existe;Existe;;;Existe;Existe;Existe;;Existe;Existe;Existe;;;Existe;NS-20;DEEPWATER EXPEDITION;S;44899.20838
1-BRSA-458-ESS;x;x;x;x;34281022043;Petrobras;1ESS159;ES;Campos;BM-C-4;;;M;S;1;Pioneiro;PORTADOR DE PETRÓLEO E GÁS NATURAL;ABANDONADO PERMANENTEMENTE;2006-10-24 00:00:00;;2007-02-21 00:00:00;Público;-21:38:39,618;-39:32:30,265;-21,6443383333;-39,5417402777;SIRGAS2000;Definitiva;Vertical;-6222;6249;6249;MR;25;0;1949;NM;;;;;;Existe;Existe;;Existe;Existe;;;;Existe;Existe;;Existe;Existe;;;;Existe;SS-53;NOBLE PAUL WOLF;S;44899.20838
1-BRSA-532A-SPS;x;x;x;x;86316022619;Equinor Brasil;1SPS52A;SP;Santos;BM-S-8;;;M;S;1;Pioneiro;DESCOBRIDOR DE NOVA JAZIDA PETRÓLEO;ABANDONADO PERMANENTEMENTE;2007-10-20 00:00:00;2008-02-26 00:00:00;2008-05-18 00:00:00;Público;-25:37:27,376;-43:54:19,626;-25,6242711111;-43,9054516666;SIRGAS2000;Definitiva;Vertical;6747;6773;6773;MR;25;0;2144;NM;;;;;Existe;Existe;Existe;;Existe;Existe;;;;Existe;Existe;;Existe;Existe;Existe;;;Existe;SS-53;NOBLE PAUL WOLF;S;44899.20838
1-BRSA-553-RJS;x;x;;x;74281022686;Petrobras;1RJS651;RJ;Campos;C-M-403;;;M;S;1;Pioneiro;PORTADOR DE PETRÓLEO;ABANDONADO POR LOGÍSTICA EXPLORATÓRIA;2007-11-26 00:00:00;2008-02-29 00:00:00;2008-03-22 00:00:00;Público;-22:53:47,947;-40:18:05,202;-22,8966519444;-40,301445;SIRGAS2000;Definitiva;Vertical;-5258.5;5277;5277;MR;17;;1681;NM;;;;;Existe;Existe;Existe;;Existe;Existe;;;Existe;Existe;Existe;;Existe;Existe;;;;Existe;NS-23;DEEPWATER NAVIGATOR;S;44899.20838
1-BRSA-618-RJS;x;x;x;x;74316023043;Petrobras;1RJS656;RJ;Santos;BM-S-11;SRR  ;SURURU;M;S;1;Pioneiro;DESCOBRIDOR DE CAMPO COM PETRÓLEO;ABANDONADO PERMANENTEMENTE;2008-05-24 00:00:00;2008-08-20 00:00:00;2008-09-16 00:00:00;Público;-24:59:11,878;-42:36:50,634;-24,9866327777;-42,614065;SIRGAS2000;Definitiva;Vertical;-6053.6;6080;6080;MR;25;0;2224;NM;;;;;Existe;Existe;Existe;;Existe;Existe;;;;Existe;Existe;;Existe;Existe;Existe;;;Existe;SS-53;NOBLE PAUL WOLF;S;44899.20838
1-RJS-531-RJ;x;x;;x;742810234000;Petrobras;1RJS 0531  RJ;RJ;Campos;BC-200;;;M;N;1;Pioneiro;SECO COM INDÍCIOS DE PETRÓLEO;ABANDONADO PERMANENTEMENTE;1999-01-25 00:00:00;1999-04-11 00:00:00;1999-04-11 00:00:00;Público;-23:00:24,221;-40:25:50,892;-23,0067280555;-40,4308033333;SIRGAS2000;Definitiva;Vertical;;5078;;MR;24;;1939;NM;;;;;Existe;Existe;Existe;;;;Existe;;;;Existe;Existe;;;;;;Existe;SS-49;SEDCO 707;S;44899.20838
3-BRSA-394-ESS;x;x;;x;34281021632;Petrobras;3ESS162;ES;Campos;BC-60;;;M;S;3;Extensão;PORTADOR DE PETRÓLEO;ABANDONADO PERMANENTEMENTE;2005-12-28 00:00:00;2006-02-16 00:00:00;2006-09-29 00:00:00;Público;-21:31:28,336;-39:39:39,605;-21,5245377777;-39,6610013888;SIRGAS2000;Definitiva;Vertical;-5177.7;5207;5207;MR;25;;1795;NM;;;;;Existe;Existe;Existe;;Existe;Existe;Existe;;Existe;;Existe;;Existe;Existe;;;;Existe;NS-22;DEEPWATER FRONTIER;S;44899.20838
3-BRSA-496-RJS;x;x;x;x;74316022315;Petrobras;3RJS646;RJ;Santos;BM-S-11;TUP  ;TUPI;M;S;3;Extensão;PRODUTOR COMERCIAL DE PETRÓLEO;PRODUZINDO;2007-05-07 00:00:00;2007-07-24 00:00:00;2007-09-28 00:00:00;Público;-25:34:20,263;-42:49:45,587;-25,5722952777;-42,8293297222;SIRGAS2000;Definitiva;Vertical;-5289.7;5316;5316;MR;25;0;2172;NM;;;;;Existe;Existe;Existe;;Existe;Existe;;;;Existe;Existe;;Existe;Existe;Existe;;Existe;Existe;SS-53;NOBLE PAUL WOLF;S;44899.20838
3-BRSA-755A-RJS;x;x;x;x;74316024037;Petrobras;3RJS662A;RJ;Santos;BM-S-11;TUP  ;TUPI;M;S;3;Extensão;PORTADOR DE PETRÓLEO;FECHADO;2009-07-16 00:00:00;2009-10-22 00:00:00;2010-05-14 00:00:00;Público;-25:23:11,146;-42:42:19,430;-25,3864294444;-42,7053972222;SIRGAS2000;Definitiva;Vertical;-5458;5501;5501;MR;39;0;2115;NM;;;;;Existe;;Existe;Existe;Existe;Existe;;;;Existe;Existe;;Existe;Existe;Existe;;Existe;Existe;SS-69;WEST EMINENCE;S;44899.20838
3-BRSA-967A-RJS;x;x;;x;74316026071;Petrobras;3RJS683A;RJ;Santos;BM-S-24;;;M;S;3;Extensão;PORTADOR DE PETRÓLEO E GÁS NATURAL;ABANDONADO TEMPORARIAMENTE SEM MONITORAMENTO;2012-02-24 00:00:00;2012-10-30 00:00:00;2012-12-15 00:00:00;Público;-25:26:24,017;-42:24:55,180;-25,4400047222;-42,4153277777;SIRGAS2000;Definitiva;Vertical;-5899.2;5918;5903;MR;18;0;2164;NM;;;;;Existe;;Existe;Existe;Existe;Existe;;;;Existe;Existe;;Existe;Existe;;;Existe;Existe;NS-36;Cerrado;S;44899.20838
6-BRSA-409-RJS;x;x;;x;74281021731;Petrobras;6MRL180RJS;RJ;Campos;MRL;MRL  ;MARLIM;M;S;6;Jazida Mais Profunda;SECO SEM INDÍCIOS;ABANDONADO TEMPORARIAMENTE SEM MONITORAMENTO;2006-03-13 00:00:00;2006-05-21 00:00:00;2006-05-29 00:00:00;Público;-22:28:18,169;-40:04:16,780;-22,4717136111;-40,0713277777;SIRGAS2000;Definitiva;Vertical;-5327;5351;5351;MR;25;0;919;NM;;;;;Existe;Existe;Existe;;;Existe;;;;;;;Existe;;;;;Existe;SS-43;SEDCO 710;S;44899.20838
6-BRSA-497-ESS;x;x;;x;34281022329;Petrobras;6CHT4ESS;ES;Campos;BC-60;JUB  ;JUBARTE;M;S;6;Jazida Mais Profunda;PORTADOR DE PETRÓLEO;ABANDONADO PERMANENTEMENTE;2007-05-14 00:00:00;2007-09-09 00:00:00;2007-10-08 00:00:00;Público;-21:11:48,812;-39:57:01,923;-21,1968922222;-39,9505341666;SIRGAS2000;Definitiva;Vertical;-4997;5019;5019;MR;19;0;1494;NM;;;;;Existe;Existe;Existe;Existe;Existe;Existe;;;;Existe;Existe;;Existe;Existe;Existe;;;Existe;SS-61;ENSCO 6004;S;44899.20838
6-BRSA-505P-ESS;x;x;;x;34271022381;Petrobras;6GLF20PESS;ES;Espírito Santo;BES-100;GLF  ;GOLFINHO;M;S;6;Jazida Mais Profunda;PORTADOR DE PETRÓLEO;ABANDONADO PERMANENTEMENTE;2007-06-14 00:00:00;2007-07-22 00:00:00;2007-08-17 00:00:00;Público;-20:01:19,714;-39:32:54,577;-20,0221427777;-39,5484936111;SIRGAS2000;Definitiva;Vertical;-5735.6;5774;5758;MR;17;0;1401;NM;;;;;Existe;Existe;Existe;;Existe;Existe;;;;Existe;Existe;;Existe;Existe;;;;Existe;SS-61;ENSCO 6004;S;44899.20838
6-BRSA-770D-RJS;x;x;x;x;74281024237;Petrobras;6MRL199DRJS;RJ;Campos;MRL;MRL  ;MARLIM;M;S;6;Jazida Mais Profunda;DESCOBRIDOR DE NOVA JAZIDA PETRÓLEO;FECHADO;2009-10-08 00:00:00;2010-12-24 00:00:00;2010-12-24 00:00:00;Público;-22:23:00,027;-40:06:03,364;-22,3833408333;-40,1009344444;SIRGAS2000;Definitiva;Direcional;-4986;5122;5122;MR;23;0;648;NM;;;;;Existe;;Existe;Existe;Existe;Existe;Existe;;;Existe;;;Existe;Existe;Existe;;;Existe;SS-63;FALCON;S;44899.20838
6-BRSA-990-RJS;x;x;x;x;74281025770;Petrobras;6VL10RJS;RJ;Campos;;VL   ;VIOLA;M;S;6;Jazida Mais Profunda;PORTADOR DE PETRÓLEO;ABANDONADO PERMANENTEMENTE;2011-10-03 00:00:00;2012-02-26 00:00:00;2012-04-30 00:00:00;Público;-22:21:37,946;-40:12:13,567;-22,3605405555;-40,2037686111;SIRGAS2000;Definitiva;Vertical;-5233.1;5250;5260.5;MR;25;0;219;NM;;;;;Existe;;Existe;;Existe;Existe;;;;Existe;Existe;;Existe;Existe;Existe;;;Existe;SS-48;PRIDE SOUTH ATLANTIC;S;44899.20838
1-BRSA-104-RJS;x;x;;x;74316019609;Petrobras;1RJS568;RJ;Santos;BS-500;;;M;S;1;Pioneiro;SECO SEM INDÍCIOS;ABANDONADO PERMANENTEMENTE;2001-09-08 00:00:00;2001-10-06 00:00:00;2001-10-10 00:00:00;Público;-24:37:45,442;-43:05:41,272;-24,6292894444;-43,0947977777;SIRGAS2000;Definitiva;Vertical;;4499;;MR;18;0;1629;NM;;;;;Existe;Existe;Existe;;Existe;Existe;;;;;Existe;;Existe;Existe;;;;Existe;NS-24;NAVIS EXPLORER I;S;44899.20838
1-BRSA-137-RJS;x;x;;x;74316019886;Petrobras;1RJS583;RJ;Santos;BS-500;;;M;S;1;Pioneiro;SECO SEM INDÍCIOS;ABANDONADO PERMANENTEMENTE;2002-03-17 00:00:00;2002-03-29 00:00:00;2002-04-01 00:00:00;Público;-24:31:02,062;-42:33:37,356;-24,5172394444;-42,5603766666;SIRGAS2000;Definitiva;Vertical;;3466;;MR;18;0;1672;NM;;;;;Existe;Existe;Existe;;;;Existe;;;;;;Existe;;;;;Existe;P-6;PETROBRAS VI;S;44899.20838
1-BRSA-182-RJS;x;x;;x;74281020278;Petrobras;1RJS602;RJ;Campos;BC-400;;;M;S;1;Pioneiro;PORTADOR DE PETRÓLEO;ABANDONADO POR LOGÍSTICA EXPLORATÓRIA;2002-12-22 00:00:00;2003-03-24 00:00:00;2003-04-01 00:00:00;Público;-22:22:22,556;-39:51:32,495;-22,3729322222;-39,8590263888;SIRGAS2000;Definitiva;Vertical;;5246;;MR;24;0;1293;NM;;;;;Existe;Existe;Existe;;Existe;Existe;Existe;;;Existe;Existe;;Existe;Existe;Existe;;Existe;Existe;SS-49;SEDCO 707;S;44899.20838
1-BRSA-597-RJS;x;x;;x;74316022911;Petrobras;1RJS655;RJ;Santos;S-M-322;;;M;S;1;Pioneiro;PORTADOR DE PETRÓLEO;ABANDONADO TEMPORARIAMENTE SEM MONITORAMENTO;2008-03-27 00:00:00;2008-10-11 00:00:00;2008-11-28 00:00:00;Público;-24:25:58,109;-43:06:46,754;-24,4328080555;-43,1129872222;SIRGAS2000;Definitiva;Vertical;-5989;6030;6030;MR;27;0;1275;NM;;;;;Existe;Existe;Existe;;;Existe;Existe;;;;Existe;;Existe;;;;;Existe;NS-21;OCEAN CLIPPER;S;44899.20838
1-BRSA-757B-SPS;x;x;x;x;86316024069;Petrobras;1SPS68B;SP;Santos;BM-S-17;;;M;S;1;Pioneiro;SECO COM INDÍCIOS DE PETRÓLEO;ABANDONADO PERMANENTEMENTE;2009-07-30 00:00:00;2009-11-08 00:00:00;2009-12-07 00:00:00;Público;-26:22:20,514;-45:00:52,487;-26,372365;-45,0145797222;SIRGAS2000;Definitiva;Vertical;-6420.8;6441;6445.8;MR;25;0;2254;NM;;;;;Existe;Existe;Existe;;Existe;;Existe;;;;Existe;;Existe;;;;;Existe;NS-22;DEEPWATER FRONTIER;S;44899.20838
1-BRSA-75B-ESS;x;x;x;x;34281019498;Petrobras;1ESS104B;ES;Campos;BC-15;;;M;S;1;Pioneiro;DESCOBRIDOR DE NOVA JAZIDA PETRÓLEO;ABANDONADO PERMANENTEMENTE;2001-06-09 00:00:00;2001-07-02 00:00:00;2001-07-08 00:00:00;Público;-21:03:47,152;-39:54:31,399;-21,0630977777;-39,9087219444;SIRGAS2000;Definitiva;Vertical;;3957;;MR;14;0;1583;NM;;;;;Existe;Existe;Existe;;Existe;Existe;Existe;;Existe;;Existe;;Existe;Existe;;;;Existe;SS-39;ALASKAN STAR;S;44899.20838
